twitter,emoticon,sentiment score,sentiment feature,generalized feature
                   I missed the New Moon trailer...,0,-0.296,negative,1
              omg its already 7:30 :O,0,-0.2808,negative,1
          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,0,-0.4767,negative,1
         i think mi bf is cheating on me!!!       T_T,0,-0.6679,very negative,0
         or i just worry too much?        ,0,-0.4404,negative,1
       Juuuuuuuuuuuuuuuuussssst Chillin!!,0,0,positive,2
       Sunny Again        Work Tomorrow  :-|       TV Tonight,0,0.2732,positive,2
      handed in my uniform today . i miss you already,0,-0.1531,negative,1
      hmmmm.... i wonder how she my number @-),0,0.0772,positive,2
      I must think about positive..,0,0,positive,2
      thanks to all the haters up in my face all day! 112-102,0,-0.1511,negative,1
      this weekend has sucked so far,0,-0.4588,negative,1
     jb isnt showing in australia any more!,0,0,positive,2
     ok thats it you win.,0,0.7184,very positive,3
     Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate,0,0.5859,very positive,3
    HUGE roll of thunder just now...SO scary!!!!,0,0.6371,very positive,3
    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,0,0.6597,very positive,3
    Very sad about Iran.,0,-0.5256,very negative,0
    wompppp wompp,0,0,positive,2
    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome,0,0.7269,very positive,3
   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,0,-0.3182,negative,1
   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,0,0.5216,very positive,3
    Feeeling like shit right now. I really want to sleep,0,-0.1298,negative,1
   goodbye exams,0,0,positive,2
   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,0,-0.4003,negative,1
   I hate it when any athlete appears to tear an ACL on live television.,0,-0.5719,very negative,0
   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,0,0.057,positive,2
  -- Meet your Meat http://bit.ly/15SSCI,0,0,positive,2
   My horsie is moving on Saturday morning.,0,0,positive,2
   No Sat off...Need to work 6 days a week ,0,-0.296,negative,1
   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,0,0.0018,positive,2
   SOX!     Floyd was great,0,0.6588,very positive,3
   times by like a million,0,0.3612,positive,2
   uploading pictures on friendster ,0,0,positive,2
   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    ,0,-0.7717,very negative,0
  &amp;&amp;Fightiin Wiit The Babes...,0,0,positive,2
  *enough said*,0,0,positive,2
  ... Do I need to even say it?  Do I?  Well,0,0.3527,positive,2
  ... health class (what a joke!),0,0,positive,2
  @ginaaa &lt;3 GO TO THE SHOW TONIGHT,0,0,positive,2
  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,0,-0.5209,very negative,0
 - All Time Low shall be my motivation for the rest of the week.,0,0.0772,positive,2
  and the entertainment is over,0,0.4215,positive,2
  another year of Lakers .. That's neither magic nor fun ...,0,0.3093,positive,2
  baddest day eveer. ,0,0,positive,2
  bathroom is clean..... now on to more enjoyable tasks......,0,0.4927,positive,2
  boom boom pow,0,0,positive,2
  but i'm proud.,0,0.631,very positive,3
  congrats to helio though,0,0.5267,very positive,3
  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,0,0,positive,2
  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,0,0.5106,very positive,3
  go give ur mom a hug right now. http://bit.ly/azFwv,0,0.4767,positive,2
  Going To See Harry Sunday Happiness ,0,0.5574,very positive,3
  Hand quilting it is then...,0,0.4939,positive,2
 I always get what I want,0,0.0772,positive,2
  I bend backwards  ,0,0,positive,2
  i get off work sooooon! i miss cody booo. haven't seen him in foreverr!,0,-0.2924,negative,1
